Classification - Australian and New Zealand Standard Industrial Classification (ANZSIC) 2006;;;;;;;;;;,,,
Level 1;;;;;;;;;;,,,
;Level 2;;;;;;;;;,,,
;;Level 3;;;HIANZ;;;ARRCO;;,,,
;;;Level 4;;Bool Val;Use case;Display name;Bool Val;Use case;Display name,,,
A;Agriculture, Forestry and Fishing;;;;;;;;;,,
;A01;Agriculture;;;;;;;;,,,
;;A011;Nursery and Floriculture Production;;;;;;;,,,
;;;A011100;Nursery Production (Under Cover);;;;;;,,,
;;;A011200;Nursery Production (Outdoors);;;;;;,,,
;;;A011300;Turf Growing;;;;;;,,,
;;;A011400;Floriculture Production (Under Cover);;;;;;,,,
;;;A011500;Floriculture Production (Outdoors);;;;;;,,,
;;A012;Mushroom and Vegetable Growing;;;;;;;,,,
;;;A012100;Mushroom Growing;;;;;;,,,
;;;A012200;Vegetable Growing (Under Cover);;;;;;,,,
;;;A012300;Vegetable Growing (Outdoors);;;;;;,,,
;;A013;Fruit and Tree Nut Growing;;;;;;;,,,
;;;A013100;Grape Growing;;;;;;,,,
;;;A013200;Kiwifruit Growing;;;;;;,,,
;;;A013300;Berry Fruit Growing;;;;;;,,,
;;;A013400;Apple and Pear Growing;;;;;;,,,
;;;A013500;Stone Fruit Growing;;;;;;,,,
;;;A013600;Citrus Fruit Growing;;;;;;,,,
;;;A013700;Olive Growing;;;;;;,,,
;;;A013900;Other Fruit and Tree Nut Growing;;;;;;,,,
;;A014;Grain, Sheep and Beef Cattle Farming;;;;;;;,,
;;;A014100;Sheep Farming (Specialised);;;;;;,,,
;;;A014200;Beef Cattle Farming (Specialised);;;;;;,,,
;;;A014300;Beef Cattle Feedlots (Specialised);;;;;;,,,
;;;A014400;Sheep-Beef Cattle Farming;;;;;;,,,
;;;A014500;Grain-Sheep and Grain-Beef Cattle Farming;;;;;;,,,
;;;A014600;Rice Growing;;;;;;,,,
;;;A014900;Other Grain Growing;;;;;;,,,
;;A015;Other Crop Growing;;;;;;;,,,
;;;A015100;Sugar Cane Growing;;;;;;,,,
;;;A015200;Cotton Growing;;;;;;,,,
;;;A015900;Other Crop Growing n.e.c.;;;;;;,,,
;;A016;Dairy Cattle Farming;;;;;;;,,,
;;;A016000;Dairy Cattle Farming;;;;;;,,,
;;A017;Poultry Farming;;;;;;;,,,
;;;A017100;Poultry Farming (Meat);;;;;;,,,
;;;A017200;Poultry Farming (Eggs);;;;;;,,,
;;A018;Deer Farming;;;;;;;,,,
;;;A018000;Deer Farming;;;;;;,,,
;;A019;Other Livestock Farming;;;;;;;,,,
;;;A019100;Horse Farming;;;;;;,,,
;;;A019200;Pig Farming;;;;;;,,,
;;;A019300;Beekeeping;;;;;;,,,
;;;A019900;Other Livestock Farming n.e.c.;;;;;;,,,
;A02;Aquaculture;;;;;;;;,,,
;;A020;Aquaculture;;;;;;;,,,
;;;A020100;Longline and Rack (Offshore) Aquaculture;;;;;;,,,
;;;A020200;Caged (Offshore) Aquaculture;;;;;;,,,
;;;A020300;Onshore Aquaculture;;;;;;,,,
;A03;Forestry and Logging;;;;;;;;,,,
;;A030;Forestry and Logging;;;;;;;,,,
;;;A030100;Forestry;;;;;;,,,
;;;A030200;Logging;;;;;;,,,
;A04;Fishing, Hunting and Trapping;;;;;;;;,,
;;A041;Fishing;;;;;;;,,,
;;;A041100;Rock Lobster and Crab Potting;;;;;;,,,
;;;A041200;Prawn Fishing;;;;;;,,,
;;;A041300;Line Fishing;;;;;;,,,
;;;A041400;Fish Trawling, Seining and Netting;;;;;;,,
;;;A041900;Other Fishing;;;;;;,,,
;;A042;Hunting and Trapping;;;;;;;,,,
;;;A042000;Hunting and Trapping;;;;;;,,,
;A05;Agriculture, Forestry and Fishing Support Services;;;;;;;;,,
;;A051; Forestry Support Services;;;;;;;,,,
;;;A051000;Forestry Support Services;;;;;;,,,
;;A052;Agriculture and Fishing Support Services;;;;;;;,,,
;;;A052100;Cotton Ginning;;;;;;,,,
;;;A052200;Shearing Services;;;;;;,,,
;;;A052900;Other Agriculture and Fishing Support Services;;;;;;,,,
B;Mining;;;;;;;;;,,,
;B06;Coal Mining;;;;;;;;,,,
;;B060;Coal Mining;;;;;;;,,,
;;;B060000;Coal Mining;;;;;;,,,
;B07;Oil and Gas Extraction;;;;;;;;,,,
;;B070;Oil and Gas Extraction;;;;;;;,,,
;;;B070000;Oil and Gas Extraction;;;;;;,,,
;B08;Metal Ore Mining;;;;;;;;,,,
;;B080;Metal Ore Mining;;;;;;;,,,
;;;B080100;Iron Ore Mining;;;;;;,,,
;;;B080200;Bauxite Mining;;;;;;,,,
;;;B080300;Copper Ore Mining;;;;;;,,,
;;;B080400;Gold Ore Mining;;;;;;,,,
;;;B080500;Mineral Sand Mining;;;;;;,,,
;;;B080600;Nickel Ore Mining;;;;;;,,,
;;;B080700;Silver-Lead-Zinc Ore Mining;;;;;;,,,
;;;B080900;Other Metal Ore Mining;;;;;;,,,
;B09;Non-Metallic Mineral Mining and Quarrying;;;;;;;;,,,
;;B091;Construction Material Mining;;;;;;;,,,
;;;B091100;Gravel and Sand Quarrying;;;;;;,,,
;;;B091900;Other Construction Material Mining;;;;;;,,,
;;B099;Other Non-Metallic Mineral Mining and Quarrying;;;;;;;,,,
;;;B099000;Other Non-Metallic Mineral Mining and Quarrying;;;;;;,,,
;B10;Exploration and Other Mining Support Services;;;;;;;;,,,
;;B101;Exploration;;;;;;;,,,
;;;B101100;Petroleum Exploration;;;;;;,,,
;;;B101200;Mineral Exploration;;;;;;,,,
;;B109;Other Mining Support Services;;;;;;;,,,
;;;B109000;Other Mining Support Services;;;;;;,,,
C;Manufacturing;;;;;;;;;,,,
;C11;Food Product Manufacturing;;;;;;;;,,,
;;C111;Meat and Meat Product Manufacturing;;;;;;;,,,
;;;C111100;Meat Processing;;;;;;,,,
;;;C111200;Poultry Processing;;;;;;,,,
;;;C111300;Cured Meat and Smallgoods Manufacturing;;;;;;,,,
;;C112;Seafood Processing;;;;;;;,,,
;;;C112000;Seafood Processing;;;;;;,,,
;;C113;Dairy Product Manufacturing;;;;;;;,,,
;;;C113100;Milk and Cream Processing;;;;;;,,,
;;;C113200;Ice Cream Manufacturing;;;;;;,,,
;;;C113300;Cheese and Other Dairy Product Manufacturing;;;;;;,,,
;;C114;Fruit and Vegetable Processing;;;;;;;,,,
;;;C114000;Fruit and Vegetable Processing;;;;;;,,,
;;C115;Oil and Fat Manufacturing;;;;;;;,,,
;;;C115000;Oil and Fat Manufacturing;;;;;;,,,
;;C116;Grain Mill and Cereal Product Manufacturing;;;;;;;,,,
;;;C116100;Grain Mill Product Manufacturing;;;;;;,,,
;;;C116200;Cereal, Pasta and Baking Mix Manufacturing;;;;;;,,
;;C117;Bakery Product Manufacturing;;;;;;;,,,
;;;C117100;Bread Manufacturing (Factory-based);;;;;;,,,
;;;C117200;Cake and Pastry Manufacturing (Factory-based);;;;;;,,,
;;;C117300;Biscuit Manufacturing (Factory-based);;;;;;,,,
;;;C117400;Bakery Product Manufacturing (Non-factory-based);;;;;;,,,
;;C118;Sugar and Confectionery Manufacturing;;;;;;;,,,
;;;C118100;Sugar Manufacturing;;;;;;,,,
;;;C118200;Confectionery Manufacturing;;;;;;,,,
;;C119;Other Food Product Manufacturing;;;;;;;,,,
;;;C119100;Potato Crisps and Corn Chips Manufacturing;;;;;;,,,
;;;C119200;Prepared Animal and Bird Feed Manufacturing;;;;;;,,,
;;;C119900;Other Food Products Manufacturing n.e.c.;;;;;;,,,
;C12; Beverage and Tobacco Product Manufacturing;;;;;;;;,,,
;;C121;Beverage Manufacturing;;;;;;;,,,
;;;C121100;Soft Drink, Cordial and Syrup Manufacturing;;;;;;,,
;;;C121200;Beer Manufacturing;;;;;;,,,
;;;C121300;Spirit Manufacturing;;;;;;,,,
;;;C121400;Wine and Other Alcoholic Beverage Manufacturing;;;;;;,,,
;;C122;Cigarette and Tobacco Product Manufacturing;;;;;;;,,,
;;;C122000;Cigarette and Tobacco Product Manufacturing;;;;;;,,,
;C13;Textile, Leather, Clothing and Footwear Manufacturing;;;;;;;;,
;;C131;Textile Fibre, Yarn and Woven Fabric Manufacturing;;;;;;;,,
;;;C131100;Wool Scouring;;;;;;,,,
;;;C131200;Natural Fibre Textile Manufacturing;;;;;;,,,
;;;C131300;Synthetic Fibre Textile Manufacturing;;;;;;,,,
;;C132;Leather Tanning and Fur Dressing;;;;;;;,,,
;;;C132000;Leather Tanning, Fur Dressing and Leather Product Manufacturing;;;;;;,,
;;C133;Textile Product Manufacturing;;;;;;;,,,
;;;C133100;Textile Floor Covering Manufacturing;;;;;;,,,
;;;C133200;Rope, Cordage and Twine Manufacturing;;;;;;,,
;;;C133300;Cut and Sewn Textile Product Manufacturing;;;;;;,,,
;;;C133400;Textile Finishing and Other Textile Product Manufacturing;;;;;;,,,
;;C134;Knitted Product Manufacturing;;;;;;;,,,
;;;C134000;Knitted Product Manufacturing;;;;;;,,,
;;C135;Clothing and Footwear Manufacturing;;;;;;;,,,
;;;C135100;Clothing Manufacturing;;;;;;,,,
;;;C135200;Footwear Manufacturing;;;;;;,,,
;C14;Wood Product Manufacturing;;;;;;;;,,,
;;C141;Log Sawmilling and Timber Dressing;;;;;;;,,,
;;;C141100;Log Sawmilling;;;;;;,,,
;;;C141200;Wood Chipping;;;;;;,,,
;;;C141300;Timber Resawing and Dressing;;;;;;,,,
;;C149;Other Wood Product Manufacturing;;;;;;;,,,
;;;C149100;Prefabricated Wooden Building Manufacturing;;;;;;,,,
;;;C149200;Wooden Structural Fittings and Components Manufacturing;;;;;;,,,
;;;C149300;Veneer and Plywood Manufacturing;;;;;;,,,
;;;C149400;Reconstituted Wood Product Manufacturing;;;;;;,,,
;;;C149900;Other Wood Product Manufacturing n.e.c.;;;;;;,,,
;C15;Pulp, Paper and Converted Paper Product Manufacturing;;;;;;;;,,
;;C151;Pulp, Paper and Paperboard Manufacturing;;;;;;;,,
;;;C151000;Pulp, Paper and Paperboard Manufacturing;;;;;;,,
;;C152;Converted Paper Product Manufacturing;;;;;;;,,,
;;;C152100;Corrugated Paperboard and Paperboard Container Manufacturing;;;;;;,,,
;;;C152200;Paper Bag and Sack Manufacturing;;;;;;,,,
;;;C152300;Paper Stationery Manufacturing;;;;;;,,,
;;;C152400;Sanitary Paper Product Manufacturing;;;;;;,,,
;;;C152900;Other Converted Paper Product Manufacturing;;;;;;,,,
;C16;Printing;;;;;;;;,,,
;;C161;Printing;;;;;;;,,,
;;;C161100;Printing;;;;;;,,,
;;;C161200;Printing Support Services;;;;;;,,,
;;C162;Reproduction of Recorded Media;;;;;;;,,,
;;;C162000;Reproduction of Recorded Media;;;;;;,,,
;C17; Petroleum and Coal Product Manufacturing;;;;;;;;,,,
;;C170;Petroleum Refining and Petroleum and Coal Product Manufacturing;;;;;;;,,,
;;;C170100;Petroleum Refining and Petroleum Fuels Manufacturing;;;;;;,,,
;;;C170900;Other Petroleum and Coal Product Manufacturing;;;;;;,,,
;C18;Basic Chemical and Chemical Product Manufacturing;;;;;;;;,,,
;;C181;Chemical Manufacturing;;;;;;;,,,
;;;C181100;Industrial Gases Manufacturing;;;;;;,,,
;;;C181200;Basic Organic Chemical Manufacturing;;;;;;,,,
;;;C181300;Basic Inorganic Chemical Manufacturing;;;;;;,,,
;;C182;Basic Polymer Manufacturing;;;;;;;,,,
;;;C182100;Synthetic Resin and Synthetic Rubber Manufacturing;;;;;;,,,
;;;C182900;Other Basic Polymer Manufacturing;;;;;;,,,
;;C183;Fertiliser and Pesticide Manufacturing;;;;;;;,,,
;;;C183100;Fertiliser Manufacturing;;;;;;,,,
;;;C183200;Pesticide Manufacturing;;;;;;,,,
;;C184;Pharmaceutical and Medicinal Product Manufacturing;;;;;;;,,,
;;;C184100;Human Pharmaceutical and Medicinal Product Manufacturing;;;;;;,,,
;;;C184200;Veterinary Pharmaceutical and Medicinal Product Manufacturing;;;;;;,,,
;;C185;Cleaning Compound and Toiletry Preparation Manufacturing;;;;;;;,,,
;;;C185100;Cleaning Compound Manufacturing;;;;;;,,,
;;;C185200;Cosmetic and Toiletry Preparation Manufacturing;;;;;;,,,
;;C189;Other Basic Chemical Product Manufacturing;;;;;;;,,,
;;;C189100;Photographic Chemical Manufacturing;;;;;;,,,
;;;C189200;Explosives Manufacturing;;;;;;,,,
;;;C189900;Other Basic Chemical Product Manufacturing n.e.c.;;;;;;,,,
;C19;Polymer Product and Rubber Product Manufacturing;;;;;;;;,,,
;;C191;Polymer Product Manufacturing;;;;;;;,,,
;;;C191100;Polymer Film and Sheet Packaging Material Manufacturing;;;;;;,,,
;;;C191200;Rigid and Semi Rigid Polymer Product Manufacturing;;;;;;,,,
;;;C191300;Polymer Foam Product Manufacturing;;;;;;,,,
;;;C191400;Tyre Manufacturing;;;;;;,,,
;;;C191500;Adhesive Manufacturing;;;;;;,,,
;;;C191600;Paint and Coatings Manufacturing;;;;;;,,,
;;;C191900;Other Polymer Product Manufacturing;;;;;;,,,
;;C192;Natural Rubber Product Manufacturing;;;;;;;,,,
;;;C192000;Natural Rubber Product Manufacturing;;;;;;,,,
;C20;Non-Metallic Mineral Product Manufacturing;;;;;;;;,,,
;;C201;Glass and Glass Product Manufacturing;;;;;;;,,,
;;;C201000;Glass and Glass Product Manufacturing;;;;;;,,,
;;C202;Ceramic Product Manufacturing;;;;;;;,,,
;;;C202100;Clay Brick Manufacturing;;;;;;,,,
;;;C202900;Other Ceramic Product Manufacturing;;;;;;,,,
;;C203;Cement, Lime, Plaster and Concrete Product Manufacturing;;;;;;;,
;;;C203100;Cement and Lime Manufacturing;;;;;;,,,
;;;C203200;Plaster and Gypsum Product Manufacturing;;;;;;,,,
;;;C203300;Ready-Mixed Concrete Manufacturing;;;;;;,,,
;;;C203400;Concrete Product Manufacturing;;;;;;,,,
;;C209;Other Non-Metallic Mineral Product Manufacturing;;;;;;;,,,
;;;C209000;Other Non-Metallic Mineral Product Manufacturing;;;;;;,,,
;C21;Primary Metal and Metal Product Manufacturing;;;;;;;;,,,
;;C211;Basic Ferrous Metal Manufacturing;;;;;;;,,,
;;;C211000;Iron Smelting and Steel Manufacturing;;;;;;,,,
;;C212;Basic Ferrous Metal Product Manufacturing;;;;;;;,,,
;;;C212100;Iron and Steel Casting;;;;;;,,,
;;;C212200;Steel Pipe and Tube Manufacturing;;;;;;,,,
;;C213;Basic Non-Ferrous Metal Manufacturing;;;;;;;,,,
;;;C213100;Alumina Production;;;;;;,,,
;;;C213200;Aluminium Smelting;;;;;;,,,
;;;C213300;Copper, Silver, Lead, and Zinc Smelting and Refining;;;;;;
;;;C213900;Other Basic Non-Ferrous Metal Manufacturing;;;;;;,,,
;;C214;Basic Non-Ferrous Metal Product Manufacturing;;;;;;;,,,
;;;C214100;Non-Ferrous Metal Casting;;;;;;,,,
;;;C214200;Aluminium Rolling, Drawing, Extruding;;;;;;,
;;;C214900;Other Basic Non-Ferrous Metal Product Manufacturing;;;;;;,,,
;C22;Fabricated Metal Product Manufacturing;;;;;;;;,,,
;;C221; Iron and Steel Forging;;;;;;;,,,
;;;C221000;Iron and Steel Forging;;;;;;,,,
;;C222;Structural Metal Product Manufacturing;;;;;;;,,,
;;;C222100;Structural Steel Fabricating;;;;;;,,,
;;;C222200;Prefabricated Metal Building Manufacturing;;;;;;,,,
;;;C222300;Architectural Aluminium Product Manufacturing;;;;;;,,,
;;;C222400;Metal Roof and Guttering Manufacturing (except Aluminium);;;;;;,,,
;;;C222900;Other Structural Metal Product Manufacturing;;;;;;,,,
;;C223;Metal Container Manufacturing;;;;;;;,,,
;;;C223100;Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing;;;;;;,,
;;;C223900;Other Metal Container Manufacturing;;;;;;,,,
;;C224;Other Sheet Metal Product Manufacturing;;;;;;;,,,
;;;C224000;Other Sheet Metal Product Manufacturing;;;;;;,,,
;;C229;Other Fabricated Metal Product Manufacturing;;;;;;;,,,
;;;C229100;Spring and Wire Product Manufacturing;;;;;;,,,
;;;C229200;Nut, Bolt, Screw and Rivet Manufacturing;;;;;;,
;;;C229300;Metal Coating and Finishing;;;;;;,,,
;;;C229900;Other Fabricated Metal Product Manufacturing n.e.c.;;;;;;,,,
;C23;Transport Equipment Manufacturing;;;;;;;;,,,
;;C231;Motor Vehicle and Motor Vehicle Part Manufacturing;;;;;;;,,,
;;;C231100;Motor Vehicle Manufacturing;;;;;;,,,
;;;C231200;Motor Vehicle Body and Trailer Manufacturing;;;;;;,,,
;;;C231300;Automotive Electrical Components Manufacturing;;;;;;,,,
;;;C231900;Other Motor Vehicle Parts Manufacturing;;;;;;,,,
;;C239;Other Transport Equipment Manufacturing;;;;;;;,,,
;;;C239100;Shipbuilding and Repair Services;;;;;;,,,
;;;C239200;Boatbuilding and Repair Services;;;;;;,,,
;;;C239300;Railway Rolling Stock Manufacturing and Repair Services;;;;;;,,,
;;;C239400;Aircraft Manufacturing and Repair Services;;;;;;,,,
;;;C239900;Other Transport Equipment Manufacturing n.e.c.;;;;;;,,,
;C24;Machinery and Equipment Manufacturing;;;;;;;;,,,
;;C241;Professional and Scientific Equipment Manufacturing;;;;;;;,,,
;;;C241100;Photographic, Optical and Ophthalmic Equipment Manufacturing;;;;;;,,
;;;C241200;Medical and Surgical Equipment Manufacturing;;;;;;,,,
;;;C241900;Other Professional and Scientific Equipment Manufacturing;;;;;;,,,
;;C242;Computer and Electronic Equipment Manufacturing;;;;;;;,,,
;;;C242100;Computer and Electronic Office Equipment Manufacturing;;;;;;,,,
;;;C242200;Communications Equipment Manufacturing;;;;;;,,,
;;;C242900;Other Electronic Equipment Manufacturing;;;;;;,,,
;;C243;Electrical Equipment Manufacturing;;;;;;;,,,
;;;C243100;Electric Cable and Wire Manufacturing;;;;;;,,,
;;;C243200;Electric Lighting Equipment Manufacturing;;;;;;,,,
;;;C243900;Other Electrical Equipment Manufacturing;;;;;;,,,
;;C244;Domestic Appliance Manufacturing;;;;;;;,,,
;;;C244100;Whiteware Appliance Manufacturing;;;;;;,,,
;;;C244900;Other Domestic Appliance Manufacturing;;;;;;,,,
;;C245;Pump, Compressor, Heating and Ventilation Equipment Manufacturing;;;;;;;,
;;;C245100;Pumps and Compressors Manufacturing;;;;;;,,,
;;;C245200;Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing;;;;;;,,
;;C246;Specialised Machinery and Equipment Manufacturing;;;;;;;,,,
;;;C246100;Agricultural Machinery and Equipment Manufacturing;;;;;;,,,
;;;C246200;Mining and Construction Machinery Manufacturing;;;;;;,,,
;;;C246300;Machine Tool and Parts Manufacturing;;;;;;,,,
;;;C246900;Other Specialised Machinery and Equipment Manufacturing;;;;;;,,,
;;C249;Other Machinery and Equipment Manufacturing;;;;;;;,,,
;;;C249100;Lifting and Material Handling Equipment Manufacturing;;;;;;,,,
;;;C249900;Other Machinery and Equipment Manufacturing n.e.c.;;;;;;,,,
;C25;Furniture and Other Manufacturing;;;;;;;;,,,
;;C251;Furniture Manufacturing;;;;;;;,,,
;;;C251100;Wooden Furniture and Upholstered Seat Manufacturing;;;;;;,,,
;;;C251200;Metal Furniture Manufacturing;;;;;;,,,
;;;C251300;Mattress Manufacturing;;;;;;,,,
;;;C251900;Other Furniture Manufacturing;;;;;;,,,
;;C259;Other Manufacturing;;;;;;;,,,
;;;C259100;Jewellery and Silverware Manufacturing;;;;;;,,,
;;;C259200;Toy, Sporting and Recreational Product Manufacturing;;;;;;,,
;;;C259900;Other Manufacturing n.e.c.;;;;;;,,,
D;Electricity, Gas, Water and Waste Services;;;;;;;;;,
;D26; Electricity Supply;;;;;;;;,,,
;;D261;Electricity Generation;;;;;;;,,,
;;;D261100;Fossil Fuel Electricity Generation;;;;;;,,,
;;;D261200;Hydro-electricity Generation;;;;;;,,,
;;;D261900;Other Electricity Generation;;;;;;,,,
;;D262;Electricity Transmission;;;;;;;,,,
;;;D262000;Electricity Transmission;;;;;;,,,
;;D263;Electricity Distribution;;;;;;;,,,
;;;D263000;Electricity Distribution;;;;;;,,,
;;D264;On Selling Electricity and Electricity Market Operation;;;;;;;,,,
;;;D264000;On Selling Electricity and Electricity Market Operation;;;;;;,,,
;D27;Gas Supply;;;;;;;;,,,
;;D270;Gas Supply;;;;;;;,,,
;;;D270000;Gas Supply;;;;;;,,,
;D28;Water Supply, Sewerage and Drainage Services;;;;;;;;,,
;;D281;Water Supply, Sewerage and Drainage Services;;;;;;;,,
;;;D281100;Water Supply;;;;;;,,,
;;;D281200;Sewerage and Drainage Services;;;;;;,,,
;D29;Waste Collection, Treatment and Disposal Services;;;;;;;;,,
;;D291;Waste Collection Services;;;;;;;,,,
;;;D291100;Solid Waste Collection Services;;;;;;,,,
;;;D291900;Other Waste Collection Services;;;;;;,,,
;;D292;Waste Treatment, Disposal and Remediation Services;;;;;;;,,
;;;D292100;Waste Treatment and Disposal Services;;;;;;,,,
;;;D292200;Waste Remediation and Materials Recovery Services;;;;;;,,,
E;Construction;;;;;;;;;,,,
;E30; Building Construction;;;;;;;;,,,
;;E301;Residential Building Construction;;;;;;;,,,
;;;E301100;House Construction;;;;;;,,,
;;;E301900;Other Residential Building Construction;;;;;;,,,
;;E302;Non-Residential Building Construction;;;;;;;,,,
;;;E302000;Non-Residential Building Construction;;;;;;,,,
;E31;Heavy and Civil Engineering Construction;;;;;;;;,,,
;;E310;Heavy and Civil Engineering Construction;;;;;;;,,,
;;;E310100;Road and Bridge Construction;;;;;;,,,
;;;E310900;Other Heavy and Civil Engineering Construction;;;;;;,,,
;E32;Construction Services;;;;;;;;,,,
;;E321;Land Development and Site Preparation Services;;;;;;;,,,
;;;E321100;Land Development and Subdivision;;;;;;,,,
;;;E321200;Site Preparation Services;;;;;;,,,
;;E322;Building Structure Services;;;;;;;,,,
;;;E322100;Concreting Services;;;;;;,,,
;;;E322200;Bricklaying Services;;;;;;,,,
;;;E322300;Roofing Services;;;;;;,,,
;;;E322400;Structural Steel Erection Services;;;;;;,,,
;;E323;Building Installation Services;;;;;;;,,,
;;;E323100;Plumbing Services;;;;;;,,,
;;;E323200;Electrical Services;;;;;;,,,
;;;E323300;Air Conditioning and Heating Services;;;;;;,,,
;;;E323400;Fire and Security Alarm Installation Services;;;;;;,,,
;;;E323900;Other Building Installation Services;;;;;;,,,
;;E324;Building Completion Services;;;;;;;,,,
;;;E324100;Plastering and Ceiling Services;;;;;;,,,
;;;E324200;Carpentry Services;;;;;;,,,
;;;E324300;Tiling and Carpeting Services;;;;;;,,,
;;;E324400;Painting and Decorating Services;;;;;;,,,
;;;E324500;Glazing Services;;;;;;,,,
;;E329;Other Construction Services;;;;;;;,,,
;;;E329100;Landscape Construction Services;;;;;;,,,
;;;E329200;Hire of Construction Machinery with Operator;;;;;;,,,
;;;E329900;Other Construction Services n.e.c.;;;;;;,,,
F;Wholesale Trade;;;;;;;;;,,,
;F33;Basic Material Wholesaling;;;;;;;;,,,
;;F331;Agricultural Product Wholesaling;;;;;;;,,,
;;;F331100;Wool Wholesaling;;;;;;,,,
;;;F331200;Cereal Grain Wholesaling;;;;;;,,,
;;;F331900;Other Agricultural Product Wholesaling;;;;;;,,,
;;F332;Mineral, Metal and Chemical Wholesaling;;;;;;;,,
;;;F332100;Petroleum Product Wholesaling;;;;;;,,,
;;;F332200;Metal and Mineral Wholesaling;;;;;;,,,
;;;F332300;Industrial and Agricultural Chemical Product Wholesaling;;;;;;,,,
;;F333;Timber and Hardware Goods Wholesaling;;;;;;;,,,
;;;F333100;Timber Wholesaling;;;;;;,,,
;;;F333200;Plumbing Goods Wholesaling;;;;;;,,,
;;;F333900;Other Hardware Goods Wholesaling;;;;;;,,,
;F34;Machinery and Equipment Wholesaling;;;;;;;;,,,
;;F341;Specialised Industrial Machinery and Equipment Wholesaling;;;;;;;,,,
;;;F341100;Agricultural and Construction Machinery Wholesaling;;;;;;,,,
;;;F341900;Other Specialised Industrial Machinery and Equipment Wholesaling;;;;;;,,,
;;F349;Other Machinery and Equipment Wholesaling;;;;;;;,,,
;;;F349100;Professional and Scientific Goods Wholesaling;;;;;;,,,
;;;F349200;Computer and Computer Peripherals Wholesaling;;;;;;,,,
;;;F349300;Telecommunication Goods Wholesaling;;;;;;,,,
;;;F349400;Other Electrical and Electronic Goods Wholesaling;;;;;;,,,
;;;F349900;Other Machinery and Equipment Wholesaling n;;;;;;,,,
;F35;Motor Vehicle and Motor Vehicle Parts Wholesaling;;;;;;;;,,,
;;F350;Motor Vehicle and Motor Vehicle Parts Wholesaling;;;;;;;,,,
;;;F350100;Car Wholesaling;;;;;;,,,
;;;F350200;Commercial Vehicle Wholesaling;;;;;;,,,
;;;F350300;Trailer and Other Motor Vehicle Wholesaling;;;;;;,,,
;;;F350400;Motor Vehicle New Part Wholesaling;;;;;;,,,
;;;F350500;Motor Vehicle Dismantling and Used Part Wholesaling;;;;;;,,,
;F36;Grocery, Liquor and Tobacco Product Wholesaling;;;;;;;;,,
;;F360;Grocery, Liquor and Tobacco Product Wholesaling;;;;;;;,,
;;;F360100;General Line Groceries Wholesaling;;;;;;,,,
;;;F360200;Meat, Poultry and Smallgoods Wholesaling;;;;;;,,
;;;F360300;Dairy Produce Wholesaling;;;;;;,,,
;;;F360400;Fish and Seafood Wholesaling;;;;;;,,,
;;;F360500;Fruit and Vegetable Wholesaling;;;;;;,,,
;;;F360600;Liquor and Tobacco Product Wholesaling;;;;;;,,,
;;;F360900;Other Grocery Wholesaling;;;;;;,,,
;F37;Other Goods Wholesaling;;;;;;;;,,,
;;F371;Textile, Clothing and Footwear Wholesaling;;;;;;;,,
;;;F371100;Textile Product Wholesaling;;;;;;,,,
;;;F371200;Clothing and Footwear Wholesaling;;;;;;,,,
;;F372;Pharmaceutical and Toiletry Goods Wholesaling;;;;;;;,,,
;;;F372000;Pharmaceutical and Toiletry Goods Wholesaling;;;;;;,,,
